Accuracy,MCC,AUC,AUPRC,Precision,Recall,Specificity,F1 Score
0.8038049940546967,0.6082117915201748,0.8796038640785486,0.8627217512733171,0.8181818181818182,0.785377358490566,0.8225419664268585,0.8014440433212996
0.7800237812128419,0.560009954669234,0.8566693814759512,0.8327837095583858,0.7811764705882352,0.7830188679245284,0.7769784172661871,0.7820965842167256
0.807372175980975,0.6167106888151419,0.8794907470250214,0.8619202492495809,0.7847826086956522,0.8514150943396226,0.762589928057554,0.8167420814479638
0.7562425683709869,0.5151292467411318,0.8393099547511313,0.817230702429068,0.7849740932642487,0.7129411764705882,0.8004807692307693,0.7472256473489519
0.7728894173602854,0.5464055551318677,0.8640328054298643,0.8594875250224397,0.76,0.8047058823529412,0.7403846153846154,0.7817142857142857
0.7869047619047619,0.5737628240976794,0.8631225054426704,0.844564453407085,0.788235294117647,0.7900943396226415,0.7836538461538461,0.7891637220259128
0.7892857142857143,0.5787593253935923,0.8621360214078375,0.8452659373821432,0.7813211845102506,0.8089622641509434,0.7692307692307693,0.7949015063731171
0.7869047619047619,0.5737829286566531,0.8571072206095791,0.8354125453653918,0.7842227378190255,0.7971698113207547,0.7764423076923077,0.7906432748538011
0.7845238095238095,0.5690003658739438,0.8689677068214803,0.863002262078858,0.7858823529411765,0.7877358490566038,0.78125,0.7868080094228505
0.7928571428571428,0.5856767053701016,0.8695119738751815,0.8497317363344729,0.7948113207547169,0.7948113207547169,0.7908653846153846,0.7948113207547169
