Accuracy,MCC,AUC,AUPRC,Precision,Recall,Specificity,F1 Score
0.7502972651605232,0.5007495566007815,0.8307940278249066,0.804064967116214,0.7441860465116279,0.7619047619047619,0.7387173396674585,0.7529411764705882
0.7717003567181926,0.546739857878178,0.849491007804547,0.8219823001802572,0.7446351931330472,0.8261904761904761,0.7173396674584323,0.7832957110609481
0.7907253269916765,0.5824277554284025,0.8680409455943897,0.8520834680514323,0.7747747747747747,0.819047619047619,0.7624703087885986,0.7962962962962963
0.7598097502972652,0.5199736660732355,0.8408381404818459,0.8048832849912053,0.7698019801980198,0.7404761904761905,0.7790973871733967,0.7548543689320388
0.7871581450653984,0.5744037054303714,0.864822983825359,0.839212968541154,0.7822014051522248,0.7952380952380952,0.7790973871733967,0.7886658795749705
0.7642857142857142,0.5298219069522767,0.8406000034013797,0.8258582174118049,0.7472035794183445,0.7971360381861575,0.7315914489311164,0.7713625866050808
0.7511904761904762,0.5042350162662742,0.828933270596772,0.8030813533047438,0.774869109947644,0.7064439140811456,0.7957244655581948,0.7390761548064919
0.7857142857142857,0.572123622287872,0.86729516607237,0.8496763474271571,0.7722095671981777,0.8090692124105012,0.7624703087885986,0.7902097902097902
0.7666666666666667,0.5353033790313108,0.8590249433106576,0.8418958176452715,0.7916666666666666,0.7238095238095238,0.8095238095238095,0.7562189054726368
0.7916666666666666,0.58353350245495,0.8670578231292516,0.8468762905880939,0.7842227378190255,0.8047619047619048,0.7785714285714286,0.7943595769682726
