Accuracy,MCC,AUC,AUPRC,Precision,Recall,Specificity,F1 Score
0.7633769322235434,0.5275736441574301,0.8300475059382423,0.7946058149209453,0.7494356659142212,0.7904761904761904,0.7363420427553444,0.7694090382387022
0.7384066587395958,0.4795093076559631,0.7989593937337405,0.7684255402636495,0.7155172413793104,0.7904761904761904,0.6864608076009501,0.751131221719457
0.7847800237812128,0.5705990565495983,0.8527089695735777,0.8222162366712875,0.7685393258426966,0.8142857142857143,0.7553444180522565,0.7907514450867053
0.7526753864447087,0.5063551461315914,0.8314330958036422,0.8072281641978711,0.7376681614349776,0.7833333333333333,0.7220902612826603,0.7598152424942263
0.7645659928656362,0.5302711107684951,0.8497285374957584,0.8359735991495549,0.7831632653061225,0.7309523809523809,0.7980997624703088,0.7561576354679803
0.7666666666666667,0.5376021246171137,0.8330205953548491,0.8129829030043025,0.7367303609341825,0.8281622911694511,0.7054631828978623,0.7797752808988764
0.7583333333333333,0.517253512488672,0.8275443738343189,0.7893750993305941,0.7713567839195979,0.7326968973747017,0.7838479809976246,0.7515299877600979
0.7571428571428571,0.5143189275114013,0.8229921938332984,0.8092079168030072,0.7602905569007264,0.7494033412887828,0.7648456057007126,0.7548076923076923
0.7821428571428571,0.5644153143136713,0.8504818594104309,0.8334299217753786,0.7883211678832117,0.7714285714285715,0.7928571428571428,0.779783393501805
0.7654761904761904,0.5316173184464391,0.8485487528344672,0.8274525238278025,0.7528344671201814,0.7904761904761904,0.7404761904761905,0.7711962833914053
