Accuracy,MCC,AUC,AUPRC,Precision,Recall,Specificity,F1 Score
0.737217598097503,0.4754991599475593,0.8178985113795756,0.7858833582101283,0.7543859649122807,0.7099056603773585,0.7649880095923262,0.7314702308626975
0.7502972651605232,0.5052684454623516,0.8421281842450568,0.820195995621334,0.7891891891891892,0.6886792452830188,0.8129496402877698,0.7355163727959698
0.7705112960760999,0.5462286880023642,0.862715487986969,0.8602056661455403,0.7381443298969073,0.8443396226415094,0.6954436450839329,0.7876787678767877
0.7562425683709869,0.5166810220892055,0.8309748427672956,0.798486520009484,0.7276507276507277,0.8254716981132075,0.6858513189448441,0.7734806629834254
0.7800237812128419,0.5601556490656532,0.8496957151260124,0.8363047873683177,0.7865707434052758,0.7735849056603774,0.7865707434052758,0.7800237812128419
0.7392857142857143,0.4785492275619246,0.828279220595155,0.8061767896072789,0.7372093023255814,0.7494089834515366,0.7290167865707434,0.7432590855803048
0.736904761904762,0.4759619787156218,0.8291636194590427,0.8102945225795173,0.7616580310880829,0.6950354609929078,0.7793764988009593,0.7268232385661311
0.7738095238095238,0.5488963117337067,0.8474294720609579,0.8124058831941452,0.7939698492462312,0.7452830188679245,0.8028846153846154,0.7688564476885644
0.7476190476190476,0.49627058859257084,0.8246099419448476,0.8031117715270126,0.7324561403508771,0.7877358490566038,0.7067307692307693,0.759090909090909
0.7690476190476191,0.538045404334259,0.834418087808418,0.813500090296449,0.7674418604651163,0.7783018867924528,0.7596153846153846,0.7728337236533958
